,name,line
74,Drummond,"Arrgh, it's former General Cain! He's no longer your commanding officer! Cain! You will be punished for treason if you keep pointing your sword at me, a minister!"
75,Cain,"I don't like threatening the elderly, you know? But if you're going to do anything funny to our dear Sage, that's another story. Sorry, but I'm not holding back."
76,Soldier,.......gh.
77,Cain,"Hey now, don't flinch. Didn't I teach you not to get overwhelmed by your opponent's spirit? Pull yourselves together and march forward. Even if I'm your opponent. -Now, bring it on."
78,Cain,"Even if I'm your opponent. -Now, bring it on."
79,Soldier,Y-Yessir....!
80,Drummond,Cain! How many times must I tell you! These soldiers here no longer follow your command! I will give their orders!
81,Cain,You're so picky.....
82,Drummond,You're too relaxed! That's why you were chased out of your rank as commanding officer!
83,Cain,"Okay, okay! Have it your way. Just make it quick. Go ahead, Your Excellency."
84,Drummond,"Ahem..... Go, get him.....!"
85,Narrator,(Footsteps)
86,Soldier,Aaaaargh.....!
87,Narrator,The soldiers raise their voices and rush at Cain.
88,Narrator,(Swords clashing)
89,Narrator,"I'm bewildered by the sudden uproar, but Cain battles so dashingly that I can't take my eyes off of him. He dodges soldiers blindly swinging their blades one after another and beats them down with ease."
90,Akira,(Amazing... He's so cool.....)
91,Narrator,That's when somebody's hand timidly tugs at my arm. His fingertips are cold.
92,???,.............
93,Akira,Um.......
94,???,"Ah.... I'm Heathcliff, an Eastern wizard. Please follow me."
95,Narrator,"I take one look at the boy named Heathcliff and my breath is taken away. He's a beautiful boy - more beautiful than anyone I've ever seen on television, or online. He's like a work of art, crafted with the most delicate workmanship. Heathcliff turns his eyes downward, as if to escape my gaze."
96,Heathcliff,This way.
97,Narrator,"I follow Heathcliff to a dark staircase, escaping the floor that has become a total battleground. I feel my anxiety growing - I know there were no spiral staircases in my apartment complex."
98,Akira,"U... Um, can I ask a question?"
99,Narrator,"Heathcliff looks at me over his shoulder as we're halfway down the stairwell. His vivid eyes are like fine jewels. I'm mesmerized for an instant, but my expression soon turns to a frown. Heathcliff looks ill. Upon closer inspection, Cain, who is fighting on the floor above, also looks exhausted."
100,Akira,....Are you okay? You don't look very good. .....Woa....h.
101,Narrator,"Heathcliff staggers out of nowhere, and I quickly reach out to support him. Breathing heavily, Heathcliff rests a hand on his forehead."
102,Heathcliff,....I apologize.... I'm almost entirely out of magic......
103,Akira,....Magic.....?
104,Heathcliff,We just came from our battle with the < Great Catastrophe >...... ....Cain is also at his limit.....
105,Soldier,Don't let them go! Catch them!
106,Heathcliff,...............
107,Narrator,(Footsteps)
108,Narrator,The soldiers come chasing us from the floor above. Heathcliff leads me by the hand and we try to make our way to the lower floor. But a crowd approaches us from below.
109,Soldier,We've caught you in the middle! Now you can't get away!
110,Heathcliff,"....Don't worry, Sir Sage. I will protect you."
111,Akira,But you look so ill.....
112,Narrator,"Heathcliff holds up his hand in front of his chest. A gentle light begins to gather around his hand. Before I can register it, there's a pocket watch in his palm."
113,Akira,(Wh-what was that!?)
114,Narrator,Heathcliff quietly grips the pocket watch and closes his eyes.
115,Heathcliff,<< Repsevaivulp Sonus >>
116,Narrator,In that moment-. The soldiers all freeze up like figurines.
117,Akira,Wh.....!?
118,Heathcliff,......agh.
119,Akira,A-are you okay!?
120,Narrator,"As if overwhelmed by vertigo, Heathcliff falls to one knee. He quickly nods and forces himself to stand back up."
121,Heathcliff,"...I'm all right.... Let's hurry. The magic will come undone in an instant. We need to hurry, or else Mr. Faust will......"
122,Narrator,"I support Heath's back while falling deeper into my confusion. He doesn't look like he's performing for a prank. This looks real. The same goes for the sharpness of the soldier's swords, and for Cain, who hides his exhaustion as he fights on."
123,Cain,"Heath, are you all right!?"
124,Heathcliff,....I'm fine!
125,Akira,"(If it's all real, then......) (What in the world is going on?)"
126,???,"The wind really lingers on your skin tonight. Like the touch of a lover bound to cause future troubles..... The Central tower is within sight. I wonder if Cain and Heathcliff are safe. Come now, stop getting distracted. I'll leave you behind. Murr."
127,Murr,I'm headed over right now!
128,Heathcliff,"This way, Sir Sage."
129,Akira,Yes.....
130,Narrator,"Still in a daze, I follow Heathcliff as we weave our way through the crowd of soldiers, frozen stiff like figurines. We're almost at the bottom of the stairwell when their fingers begin to twitch."
131,Heathcliff,.....The spell is wearing off......
132,Narrator,"In the next moment, the soldiers all begin to move at once."
133,Soldier,....Capture the Sage! Huh? He's gone? Where'd he go!?
134,Soldier,"You idiot, he's right behind you!"
135,Soldier,When did he get there!? We're not letting you go.....!
136,Narrator,(Footsteps)
137,Narrator,The soldiers surround us.
138,Narrator,"That's when a strange-smelling white smoke drifts into the scene from the window at the end of the stairs. It's dazzlingly sweet, akin to wine."
139,Narrator,"I look up in surprise, and there, on the once-empty windowsill, sits a young man. He smiles gently, but there's a mysterious, seductive air to him as well. Perhaps it's because of the long pipe in his mouth."
140,???,Good evening.
141,Heathcliff,Shylock!
142,???,"My goodness, I can't believe you. You and Cain are both pushing yourselves far past your limits.... You must've just barely hung onto your brooms to get here."
143,Heathcliff,"I had to, for Mr. Faust....."
144,???,I know. Leave the rest to us.
145,Narrator,The young man strokes Heathcliff's pale cheek and smiles at me over Heathcliff's shoulder.
146,???,"Pleased to meet you, Sir Sage. I am Shylock, a Western wizard."
147,Akira,....A wizard.....
148,Narrator,I'm shaken again; Shylock gives me a refined smile. He seductively brings the pipe to his lips.
149,Soldier,A-another wizard!
150,Soldier,D-don't let him scare you! They should've used up all their power in the battle against the < Great Catastrophe >....!
151,Narrator,"Shylock simply breathes out a puff of smoke from his pipe. And the white smoke fills the room with a sweet, intoxicating scent. The soldiers all suddenly stumble on their feet - it's as if they're drunk."
152,Soldier,"Hehe..... Huh.....? Hey, isn't this kinda fun......?"
153,Soldier,Heheh...... This bed looks real comfy......... I'll just go to sleep......
154,Narrator,"Before I know it, the soldiers are all falling to the floor wearing delighted expressions. Shylock crosses his legs up high and brings his pipe away from his lips."
155,Shylock,Sweet dreams.
156,Narrator,That's when Cain comes rushing down towards us from the stairs.
157,Cain,"Shylock, you saved us!"
158,Shylock,"You owe me one, all right? Treat me to a drink next time."
159,Cain,"Just one drink? I'll stick around for the whole night. Sir Sage, let's go."
160,Narrator,"Cain offers me his hand, but I can't take it right away. I'm unsure of whether or not I should take his hand; my gaze wavers."
161,Akira,(Let's go? Go where? Who are these people? Where am I?)
162,Narrator,"Cain doesn't miss the brief flash of anxiety in my expression, and stops in his tracks. He shows no sign of exhaustion as he nods to me, gently and sincerely."
163,Cain,"Ah.... My bad. The sage comes from another world, right? That means you have no idea what's going on. Of course you'd be scared - we're asking you to come with us when you don't even know where you are. ....Umm....."
164,Shylock,Cain. We don't have time for you to explain everything about this world and the sage's role in it all.
165,Cain,I know. But a knight doesn't go about whisking clueless people away without explaining anything to them.
166,Narrator,Cain thinks for a moment before looking straight into my eyes.
167,Cain,"Akira. Let me give you the simple explanation. We need your power, and we'd like you to lend it to us. Why? Because we suffered a terrible loss. We were completely destroyed in an annual battle that we'd easily won every prior year. We were neither careless nor neglectful. The old guy back there is angry because he thinks we did a half-hearted job. But that's not true. We didn't even know what was happening - and we lost the battle, along with half of our comrades. I don't want to lose anything else..... That's why we need your help. Of course, that's just our selfish desire. This isn't your world, and I'm sure there are other things that you would rather be doing. You have the right to refuse, and nobody will blame you for making that choice. But we..... We truly need you. If you're willing to come with us and lend us your power, then I'm willing to do anything. I will show you my utmost courage and sincerity; I will express my utmost gratitude and courtesy. This vow may be nothing but words - but I beg of you: Please, believe in us, and lend us your strength."
168,Narrator,"I don't really understand what Cain is saying. But I truly feel his earnest sincerity from his words and gaze. I can't tell if I'm living in a dream or a simulated reality, but I can tell that his feelings are real. If I take his words seriously, someone on the other end of the camera might laugh at me. But I have to lend him an ear."
169,Akira,...How am I supposed to lend you my strength?
170,Heathcliff,We want you to.... We want you to save Mr. Faust.
171,Akira,Mr. Faust....?
172,Cain,He's our comrade. He's on the brink of death. But you might be able to save him.
173,Akira,On the brink of death...? Why....
174,Shylock,He was gravely injured while protecting a comrade.
175,Heathcliff,"....Mr. Faust is my teacher..... If he hadn't been there for me, I would've died....."
176,Narrator,A comrade on the brink of death..... I repeat those words in my mind. I still don't understand what's going on. But I can understand the deep sadness reflected in Heathcliff's reddened eyes.
177,Heathcliff,"....Please, I beg of you.... Please save him....."
178,Narrator,I take a deep breath and nod.
179,Akira,I understand.... If there's anything I can do to help.
180,Narrator,"A smile of relief spreads across Heathcliff's face. I'm in awe; I didn't realize he was a boy who could smile like this - with such pure, childlike innocence."
181,Heathcliff,"Thank you, Sir Sage......"
182,Drummond,Wait! You damn wizards! I won't let you have the Sage....!
183,Narrator,"The bearded man and the meek-looking young man yell as they rush down the stairwell. The old man looks at me and shouts, as if chiding me:"
184,Drummond,"Sir Sage! You mustn't be fooled! Wizards are all irresponsible liars! They remorselessly deceive humans, and manipulate our hearts with strange powers! You must not believe the wizards!"
185,Narrator,"I turn around to look at the three of them. Cain furrows his brows in frustration, and Heathcliff looks visibly hurt. Shylock alone is smiling. He tilts his head and lets his pipe sway in his hand."
186,Shylock,"Let's say that we are honest, and telling the truth. That would then make you a liar. In fact, you would be the very ""irresponsible liar"" you spoke of just moments ago."
187,Drummond,I serve my country! I am nothing like you frivolous lot!
188,Shylock,"Silence, Sir Drummond. You may think you are speaking with us, but you have no intention of holding a real conversation. The only feeling your words convey is the fact that you do not seem to be very fond of us. You would not believe our words even if they were true. And if we do lie, you would sigh a breath of relief. For you wish to believe that we - the wizards you so detest - are all liars. Then does it matter anymore what is true or what is false?"
189,Drummond,"....Aargh, quit with the word games! In any case, Sir Sage! You must not lend an ear to these wizards! You simply need to listen to us! I'm saying this for your own sake, Sir Sage!"
190,Narrator,"I frown at those words. The old man claims to be speaking in my best interests, but the only thing he's been telling me is to listen to him. Cain asked me to help him - for his own sake and his comrades - even if it might not be in my best interest. I turn around to look at Cain."
191,Akira,I still don't understand what's going on.... But I will follow you.
192,Akira,I still don't understand what's going on.... But I will follow you.
193,Cain,Really!?
194,Heathcliff,Are you sure!?
195,Shylock,"Don't act so surprised, both of you. Sir Sage decided to believe in us; we should be happy."
196,Narrator,"Shylock laughs wryly. Hearing that, Cain and Heathcliff also break out into smiles."
197,Cain,"We are happy. I'm just in awe - a human chose to believe in wizards, even though we only just met."
198,Heathcliff,"Thank you so much, Sir Sage! I will never forget your kindness!"
199,Drummond,"Y-you... Do you realize what a mistake you're making!? Listen to me - wizards are wicked, arrogant, and selfish....."
200,Heathcliff,Say one more word and this wicked wizard will curse you.
201,Drummond,..........
202,Heathcliff,"These wicked and arrogant wizards are the ones who fought to protect this world. My teacher, my comrades - they fought and fell to protect the likes of you!"
203,Drummond,Th.... That's......
204,Cock Robin,"S-Sir, you've gone too far."
205,Drummond,"Why are you taking their side!? All right then, I'm going to take you down by force!"
206,Shylock,Oh? How? Everyone seems to have departed to the land of dreams.
207,Drummond,"Heheh.... You fools! There are soldiers waiting for you outside! You won't stand a chance against them, knowing how exhausted you are! It's a massive army, equipped with weapons of magical technology....."
208,???,<< Eanul Rambul >>!
209,Akira,.......!?
210,Narrator,(Pop)
211,Narrator,"Suddenly, the old man disappears."
212,Narrator,"And in his place stands a mouse, surrounded by his clothes."
213,Mouse,Squeak! Squeak!
214,Narrator,"A young man climbs in through the window, picks the mouse up by its tail, and grins."
215,???,Meo~w. I'm gonna eat you.
216,Narrator,I hold my breath in surprise. Because he's the young man I just met in the elevator.
217,Shylock,"What have you been doing all this time, Murr?"
218,Murr,I was busy saying goodbye to the moon!
219,Cain,To the moon? You're as crazy as ever.
220,Narrator,"I'm bewildered. His name and face are the same, but he seems like a completely different person from the man I met earlier. Earlier, he was a brilliant gentleman; now, he's like a mischievous stray cat."
221,Heathcliff,We can talk later. Everyone hurry!
222,Murr,Got it!
223,Mouse,Squeak~! Squeak!
224,Narrator,"Murr hurls the mouse through the air, and Cock Robin scrambles to catch it."
225,Cock Robin,"Um, about the minister....."
226,Shylock,He'll turn back to normal after half a day.
227,Murr,"Hi, Sir Sage, I'm the Western wizard Murr! Have you ever flown?"
228,Akira,Flown....!? Huh....!?
229,Murr,Then come with me! This way!
230,Akira,Whoa....!?
231,Cain,"Stop, Murr!"
232,Murr,<< Eanul Rambul >>!
233,Narrator,"When Murr utters those mysterious words-. Out of nowhere, a broomstick appears in his hand. He grabs it with one hand and pulls my arm by the other. And we leap out of the closest window."
234,Akira,.....!?
235,Narrator,"My body floats into the air. And in the next moment, we plummet at a great speed."
236,Akira,Aaaa....h!
237,Narrator,"The cold night air rushes towards my body. As I fall headfirst from a tall, tall tower. A likewise upside-down but smiling Murr appears in front of my eyes as I scream."
238,Murr,"Hey, hey, do you think you're gonna die? How does that feel? Is it thrilling? Is it exciting?"
239,Cain,"Murr, that's enough! What are we going to do if something happens to Sir Sage!?"
240,Murr,What will we do?
241,Cain,Don't ask me!
242,Murr,"Fine, I get it! Sir Sage, hang onto me!"
243,Narrator,(Woosh)
244,Narrator,"I grab onto Murr's arm, and he nimbly hops onto his broomstick. The next moment, we're speeding upwards high into the night sky. We're soaring through the wind and flying through the starlit night. Fearfully, I turn my eyes downward and see nothing but unfamiliar woods and castles sprawling across the land below."
245,Akira,....Where.....!?
246,Murr,Did you lose something? Have you checked the insides of your pockets?
247,Akira,"W-where is Tokyo, Japan!?"
248,Murr,Who knows? Why don't you look for a new one? Here we go~!
249,Narrator,(Woosh)
250,Cain,"Murr! Don't be so reckless! You're carrying the Sage with you, you know!?"
251,Narrator,"I cling to Murr's body as we cut against the cold air, flying through the sky like a bird. I turn around and spot a tower - much like the Tokyo Tower - glittering within the pitch-black night. We had leapt out of that tower. As we flee through the sky, my heart races with both fear and excitement. I know people who fly on broomsticks. They're wizards."
252,Akira,(Don't tell me.... They're real wizards!?)
253,Cain,.....! Careful! It's the << Trail of Flowershards >> !
254,Heathcliff,"A cluster of flower petals, spreading through the entire night sky like a high wave..... Is this the << Trail of Flowershards >> which appears when the world is restoring itself!? Should we go around it....!?"
255,Murr,"Let's dive right into it! You want to touch it too, right, Sir Sage!"
256,Akira,You can touch it!?
257,Cain,"Hey, hey, hey, hold on!"
258,Shylock,"Stop it, Murr."
259,Murr,It's fine! Come on! Just reach out!
260,Akira,.....Ah......
261,Narrator,"A glittering wave of rainbow flower petals draws close to me. I reach out, my heart racing. The moment my fingertips brush a petal, it bursts into a sparkling powder and dissipates like magic dust."
262,Akira,.....!
263,Heathcliff,...It's beautiful......
264,Shylock,Is everyone all right?
265,Cain,Yeah. What an amazing sight......
266,Murr,"Ahahaha! See, aren't you glad you touched it? Life is a journey! You'll meet countless, wonderful, once-in-a-lifetime experiences."
267,Narrator,Their bodies shine with light; it's as if we're dancing with the galaxy as their laughter echoes through the night. And we fly on to our destination.
268,Oz,............
269,Snow,Oz.
270,White,"Hey, Oz."
271,Oz,Snow. White.
272,Snow,How is Faust doing?
273,White,Can we save him?
274,Snow,You're the strongest wizard amongst all of us.
275,White,"If you can't save him, no one else can."
276,Oz,"My magic hasn't returned yet. They're suppressing his pain with herbs for now. If you have any parting words, go tell him now."
277,Snow,You're so cold......
278,White,This is so sad......
279,Oz,"............ If the Sage makes it in time, or......"
280,Snow,Oh? It's the Northern wizards.
281,White,Hey. Where are you all going?
282,Mithra,We've played our part.
283,Snow,Mithra. Your comrade is on the brink of death.
284,Mithra,Huh...... Is that so.
285,White,What an unconcerned reply.
286,Snow,You're an even colder man than Oz.
287,Mithra,I'm free now that I've fulfilled my role. It's up to me to decide where I want to go.
288,White,"You too, Owen?"
289,Owen,"Fufu...... The world almost ended, you say? Everyone must be crying their eyes out from loss and terror. I have to go and see for myself. It's going to be so much fun."
290,White,"As always, you're a bad boy."
291,Owen,"Haha...... Are you going to punish me? The scary, scary twin teachers of the North."
292,Snow,"Even if we smack you on the bottom, your nature won't change."
293,White,You really won't change.
294,Owen,I'm glad we're on the same page. Well then.
295,Narrator,(Footsteps)
296,White,"There he goes...... Hmm? What's wrong, Mithra?"
297,Mithra,Nothing. Owen just beat me to it......
298,White,Did you miss your chance to walk away?
299,Snow,"You might be impudent, but you're still a charming child."
300,Mithra,Huh. Thanks.
301,Bradley,......Taking my chance now......
302,Snow,"Hold on, Bradley!"
303,Bradley,Got caught! ......Ugh!
304,White,You don't get to walk away freely.
305,Snow,"You're a prisoner, after all. We have to return you to your cell."
306,White,Prisoners should stay put behind bars.
307,Bradley,"Fuck! Let go, you geezers!"
308,Snow,We're not geezers~.
309,White,"Yeah, we aren't geezers~."
310,Bradley,"Stop pretending to be kids, you fucking geezers!"
311,Snow & White,Tee hee!
312,Mithra,Oz.
313,Oz,............
314,Mithra,"You call yourself the strongest wizard in the world, yet you were as useless as an infant in the face of the < Great Catastrophe > this time."
315,Oz,.........It's not like I call myself that.
316,Mithra,"I'll overthrow you someday, and claim the title of the world's strongest wizard for myself. Please prepare yourself for that day."
317,Oz,"If you hadn't been summoned as a Sage's wizard, I would've killed you by now."
318,Mithra,...........
319,Oz,Leave.
320,Mithra,"See you another time, then."
321,Narrator,(Footsteps)
322,Oz,............
323,White,So Mithra left as well......
324,Snow,Oz. Mithra left you with a parting shot.
325,White,"You weren't paying attention, so he used you to stage his exit."
326,Oz,......Enough.
327,Snow,Where are you going?
328,Oz,I'm going to Faust.
329,Snow,"That's right, how sad......"
330,White,How very sad......
331,Bradley,......Faust...... Is there nothing we can do for that Eastern curseworker?
332,Snow,Without the Sage here......
333,White,There's nothing we can do if the Sage isn't here.....
334,Faust,"......hh, ......hh......"
335,White,Faust.
336,Snow,Have you any desires?
337,Faust,"......hh, ......haa...... Desires......? I have none......"
338,Bradley,"Don't hold back, Eastern curseworker. You don't have to play all selfless even in your final moments."
339,Faust,............
340,Bradley,"I've never really liked the Eastern wizards, they're all so gloomy and depressing - you especially since you work in curses, but...... You're an idiot, risking your life like that for your comrades - but I don't hate idiots like you."
341,White,Bradley......
342,Snow,"You're a good boy, Bradley."
343,Bradley,"Shut up! Don't call me a good boy. I'm a Northern wizard - the kind that strikes fear into crying children - and the boss of the strongest, most vicious gang of bandits there's ever been."
344,Snow,"Does anything come to mind, Faust?"
345,White,You heard Bradley. Don't hold back.
346,Faust,............ No..... Those frivolous humans will find a way to destroy themselves without me having to lift a finger...... ......Serves them right...... It's what they deserve...... Heheheh...... Hahahahaha......
347,Bradley,"............ Yeah, he really is gloomy and depressing......"
348,Snow,"Shh, keep quiet."
349,White,"Looking back on Faust's life, it's no surprise that his hatred for humans runs so deep......"
350,Faust,............ ......This interminable life will finally come to an end......
351,Oz,......Faust......
352,Faust,"......I'll finally be released...... God, I pray you grant me freedom......"
353,Oz,............ ............?
354,Bradley,"What's wrong, Oz?"
355,Oz,......I sense the Sage's presence......
356,Murr,We've arrived!
357,Akira,......Uuugh......
358,Murr,Hmm? Sir Sage?
359,Shylock,"Oh my, Sir Sage. Are you quite all right? Are you dizzy from the journey?"
360,Akira,"I......, I'm fine......."
361,Cain,"You fly so recklessly, Murr. Here, give me your hand, Sir Sage. This way!"
362,Heathcliff,Mr. Faust......!
363,Narrator,(Door opens)
364,Akira,............!
365,Narrator,"I open the door to find a young man lying in a bed, quietly surrounded by a group of people. The young man, who Heathcliff called Mr. Faust, has a bloodless face that looks as pale as wax. Poisonous-looking fumes rise from beneath the layers of bandages wrapped around his body, throwing off the occasional spark. My breath catches: the situation was even more dire than I imagined."
366,Snow,Is it the Sage!?
367,White,The Sage has arrived!
368,Bradley,This guy is the Sage? Are you for real?
369,Oz,............
370,Narrator,"I stiffen nervously under the scrutiny of so many people. In particular, the man standing in the middle of the group has a terrifying presence about him; his gaze alone could freeze someone where they stand. His eyes, like a merciless blizzard, hold no warmth in them. But the moment he catches sight of me, that cold and terrifying gaze softens into an expression of relief. As if he had been waiting for me."
371,Oz,......You made it in time......
372,Shylock,How is Faust holding up? Is he still alive?
373,Faust,......Unfortunately so......
374,Shylock,What a relief. We lost exactly ten wizards in this battle against the < Great Catastrophe >. I personally find eleven an unwieldy final count. Faust.
375,Heathcliff,Mr. Faust......!
376,Narrator,"Heathcliff clings to the side of the bed, peering into the face of the injured man. The man - Faust - opens his eyes slightly."
377,Faust,......Heathcliff......?
378,Heathcliff,It's all right now! The Sage has come! He'll save you!
379,Faust,.....Are you hurt anywhere......?
380,Heathcliff,"......Um, ......No......"
381,Faust,.....I see......
382,Narrator,"For a moment, I think I catch a glimpse of Faust's lips turning upwards into a smile."
383,Faust,......Thank goodn......
384,Narrator,"But before his smile can fully form, Faust's movements slacken, then stop. His fingers, which were about to clasp Heathcliff's hand, fall limply to the bed."
385,Narrator,(Rustle)
386,Narrator,"Faust lays there unmoving, his eyes still wide open and staring."
387,Heathcliff,"Mr. Faust......! No, please don't die!"
388,Snow,This is bad! He's not breathing!
389,White,"Hurry, Sage!"
390,Oz,Sage.
391,Narrator,The man with the terrifying gaze murmurs to me in a voice as quiet as the dark of the night.
392,Oz,Your hand.
393,Narrator,He stretches out a hand to me.
394,Oz,My name is Oz. I am a Central wizard. Lend me your strength.
395,Akira,............
396,Narrator,"I hesitate, and then place my palm over Oz's hand. The moment Oz's cold fingertips close over my hand, a small wind blows across the room."
397,Narrator,(Woosh)
398,Akira,Woah......!
399,Narrator,"The mysterious wind grows stronger, flowing and whirling through our hair and clothes. A white light radiates from Oz's body, starting from the center of our clasped hands. Oz chants a curious string of words."
400,Oz,<< Vox Nox >>
401,Akira,............!
402,Narrator,"In that moment, the faint light shines brilliantly, and disappears into Faust's body."
403,Snow,We did it!
404,White,We really did!
405,Heathcliff,The fumes from Mr. Faust's body are vanishing!
406,Cain,"Let's call his name! Faust, Faust......!"
407,Shylock,"Pull yourself together, Faust."
408,Murr,"Wake up, Faust! It's too early to fall asleep just yet!"
409,Bradley,Open your eyes! Eastern curseworker!
410,Oz,............
411,Faust,"............ ......h, hh......"
412,Narrator,"Faust's eyelids - previously wide open and unmoving - close tightly. His body is wracked with pain, as if time has rewound."
413,Faust,......How cruel...... I thought I would finally get to die......
414,Narrator,"It seems like we've managed to save him. As I breathe out in relief, the room erupts into cheers."
415,Cain,He regained consciousness! Thank goodness......!
416,Murr,Congratulations!
417,Shylock,"My my, what a relief."
418,Bradley,Haha. You're a tough one.
419,Heathcliff,"Mr. Faust...... I'm so glad...... ......Sniff, sniffle......"
